Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,,
Peptic ulcer disease,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache
Typhoid,chills,vomiting,fatigue,high_fever,headache,abdominal_pain,constipation
Hepatitis A,joint_pain,vomiting,yellowish_skin,abdominal_pain,nausea,loss_of_appetite,diarrhoea
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,abdominal_pain,loss_of_appetite,yellowing_of_eyes
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,abdominal_pain,loss_of_appetite,yellowing_of_eyes
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,abdominal_pain,loss_of_appetite
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,chest_pain
Dimorphic hemorrhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision
Osteoarthritis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking,,
(vertigo) Paroxysmal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,
Acne,skin_rash,pus_filled_pimples,blackheads,scurring,,,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,,
